id, name, acronym

"2","National Archive Norway","NRA"
"3","Instytutu Chemii Bioorganicznej PAN - Poznań Supercomputing and Networking Centre","PSNC"
"4","Ministry of Education, Culture and Sport","MECD"
"5","Biblioteca Judeţeană „O.Goga” Cluj (Octavian Goga Cluj County Library)","BJC"
"6","Národní památkový ústav (National Heritage Institute)","NPU"
"7","University of York -Archaeology Data Service  ","UoY_ADS"
"8","Provincie Limburg","PL"
"9","Archives Départementales de la Gironde","CG33"
"10","Jara. Zavod za razvoj knjižnic","Zavad_Jara"
"11","Future Library ","Future_Library"
"12","Fundação Museu Nacional Ferroviário","FMNF"
"13","Universitaet Duisburg-Essen (University of Duisburg-Essen)","UDE"
"14","Angewandte Informationstechnik Forschungsgesellschaft mbH","AIT"
"15","Stiftelsen Länsmuseet Västernorrland","ABMR"
"16","Pencho Slaveykov Regional Library ( Bulgaria)","PSRL"
"17","Biblioteka grada Beograda (Belgrade City Library)","BGB"
"18","Hacettepe Universitesi","HU"
"19","Cyprus University of Technology","CUT"
"20","Discovery Programme","DP"
"21","Comenius University_Bratislava","PrifUK_KAEG"
"22","Fondazione Ranieri di Sorbello","FRS"
"23","Gradska knjiznica Rijeka","GKR"
"29","Athena RC","ARC"
"30","2Culture Associates","2Culture"
